Training reward approximator for kitchen Dataset
saved stats to ./Rewards/Kitchen_Reward/Stats/Kitchen_Reward_stats.pkl
reward model save to Kitchen_Reward_8300.pkl
Step 8310, loss -6.3497
Step 8320, loss -6.3207
Step 8330, loss -6.3539
Step 8340, loss -6.3248
Step 8350, loss -6.3357
Step 8360, loss -6.3312
Step 8370, loss -6.3638
Step 8380, loss -6.3767
Step 8390, loss -6.3282
Step 8400, loss -6.3380
reward model save to Kitchen_Reward_8400.pkl
Step 8410, loss -6.3602
Step 8420, loss -6.3465
Step 8430, loss -6.3366
Step 8440, loss -6.3576
Step 8450, loss -6.3168
Step 8460, loss -6.3368
Step 8470, loss -6.3146
Step 8480, loss -6.3596
Step 8490, loss -6.3110
Step 8500, loss -6.3811
reward model save to Kitchen_Reward_8500.pkl
Step 8510, loss -6.3698
Step 8520, loss -6.3496
