Training kernel for kitchen Dataset
Using device: cuda
saved stats to ./Transition_Kernel/Kitchen_Kernel/Stats/Kitchen_Kernel_stats.pkl

Step 6190, loss -105.8943
Step 6200, loss -100.4187
Step 6210, loss -98.3926
Step 6220, loss -104.1317
Step 6230, loss -103.1542
Step 6240, loss -100.9002
Step 6250, loss -103.6708
Step 6260, loss -102.8700
Step 6270, loss -100.2922
Step 6280, loss -103.7257
Step 6290, loss -104.2338
Step 6300, loss -103.2674
Step 6310, loss -100.9209
Step 6320, loss -102.6104
Step 6330, loss -104.6973
Step 6340, loss -105.3223
Step 6350, loss -102.0324
Step 6360, loss -96.9404
Step 6370, loss -102.0747
Step 6380, loss -103.2123
Step 6390, loss -106.2248
Step 6400, loss -100.7496
Step 6410, loss -103.6044
Step 6420, loss -103.6829
Step 6430, loss -105.8611
Step 6440, loss -104.9166
Step 6450, loss -104.9605
Step 6460, loss -106.2899
Step 6470, loss -99.4463
Step 6480, loss -102.6508
Step 6490, loss -104.1691
Step 6500, loss -103.9319
Step 6510, loss -98.7300
Step 6520, loss -102.8462
Step 6530, loss -104.4292
Step 6540, loss -104.2703
Step 6550, loss -104.4461
Step 6560, loss -101.3050
Step 6570, loss -104.5050
Step 6580, loss -105.9883
Step 6590, loss -103.9855
Step 6600, loss -100.5770
Step 6610, loss -104.6420
Step 6620, loss -106.6082
Step 6630, loss -103.7583
Step 6640, loss -104.3284
Step 6650, loss -102.9240
Step 6660, loss -101.7152
Step 6670, loss -101.7761
Step 6680, loss -104.8134
Step 6690, loss -107.1617
Step 6700, loss -100.9221
Step 6710, loss -104.4795
Step 6720, loss -104.8913
Step 6730, loss -104.3972
Step 6740, loss -105.8151
Step 6750, loss -104.2304
Step 6760, loss -107.3200
Step 6770, loss -104.6341
Step 6780, loss -106.3120
Step 6790, loss -105.9543
Step 6800, loss -102.2676
Step 6810, loss -101.6619
Step 6820, loss -104.7420
Step 6830, loss -107.7668
Step 6840, loss -105.1200
Step 6850, loss -100.6398
Step 6860, loss -103.4445
Step 6870, loss -103.9988
Step 6880, loss -106.7577
Step 6890, loss -107.0767
Step 6900, loss -105.5136
Step 6910, loss -104.4296
Step 6920, loss -105.4482
Step 6930, loss -108.4043
Step 6940, loss -106.8908
Step 6950, loss -103.1596
Step 6960, loss -101.2018
Step 6970, loss -101.3087
Step 6980, loss -104.4358
Step 6990, loss -101.4368
Step 7000, loss -104.1358
Step 7010, loss -104.7571
Step 7020, loss -107.6979
Step 7030, loss -106.4949
Step 7040, loss -108.0454
Step 7050, loss -101.0805
Step 7060, loss -102.7143
Step 7070, loss -102.4269
Step 7080, loss -106.7831
Step 7090, loss -107.4526
Step 7100, loss -108.3723
Step 7110, loss -103.8999
Step 7120, loss -105.4092
Step 7130, loss -110.0129
Step 7140, loss -109.3178
Step 7150, loss -102.6463
Step 7160, loss -106.7675
Step 7170, loss -106.5571
Step 7180, loss -108.5675
Step 7190, loss -104.2868
Step 7200, loss -107.5529
Step 7210, loss -108.6381
Step 7220, loss -109.7946
Step 7230, loss -107.0141
Step 7240, loss -107.8482
Step 7250, loss -106.4227
Step 7260, loss -103.6737
Step 7270, loss -106.9873
Step 7280, loss -104.5846
Step 7290, loss -108.7455
Step 7300, loss -106.5972
Step 7310, loss -109.6481
Step 7320, loss -109.1612
Step 7330, loss -110.8019
Step 7340, loss -109.2684
Step 7350, loss -100.8798
Step 7360, loss -106.1011
Step 7370, loss -106.6813
Step 7380, loss -110.8693
Step 7390, loss -111.1179
Step 7400, loss -113.1209
Step 7410, loss -105.4287
Step 7420, loss -102.8348
Step 7430, loss -106.4248
Step 7440, loss -106.1442
Step 7450, loss -104.8037
Step 7460, loss -105.2950
Step 7470, loss -108.0236
Step 7480, loss -107.4282
Step 7490, loss -108.8907
Step 7500, loss -112.8467
Step 7510, loss -110.3076
Step 7520, loss -109.4573
Step 7530, loss -108.3605
Step 7540, loss -110.6863
Step 7550, loss -108.9765
Step 7560, loss -107.8107
Step 7570, loss -110.4456
Step 7580, loss -108.4992
Step 7590, loss -106.1887
Step 7600, loss -108.1061
Step 7610, loss -112.4906
Step 7620, loss -111.0007
Step 7630, loss -109.0241
Step 7640, loss -107.2817
Step 7650, loss -111.2699
Step 7660, loss -111.2684
Step 7670, loss -109.7054
Step 7680, loss -110.2858
Step 7690, loss -106.9239
Step 7700, loss -110.0932
Step 7710, loss -111.7412
Step 7720, loss -110.8070
Step 7730, loss -109.6917
Step 7740, loss -109.2121
Step 7750, loss -110.1329
Step 7760, loss -111.6856
Step 7770, loss -113.1090
Step 7780, loss -108.5285
Step 7790, loss -106.0427
Step 7800, loss -108.2094
